20230319 20:50:21.071736 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071738 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071750 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071758 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071769 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071775 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071777 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071794 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071797 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071816 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071819 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071834 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071841 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071860 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071865 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071866 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071885 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071890 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071913 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071916 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071924 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071926 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071935 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:21.071943 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.071946 56900 ERROR TcpConnection::Shutdown shutdown failed - tcpconnection.cc:130
20230319 20:50:21.071955 56900 INFO  connection_state= - httpserver.cc:52
