20230319 20:50:00.749093 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#63] - tcpserver.cc:38
20230319 20:50:00.749094 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#67] - tcpserver.cc:38
20230319 20:50:00.749095 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#71] - tcpserver.cc:38
20230319 20:50:00.749135 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#75] from 127.0.0.1:49524 - tcpserver.cc:53
20230319 20:50:00.749138 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#74] - tcpserver.cc:38
20230319 20:50:00.749146 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#76] from 127.0.0.1:49536 - tcpserver.cc:53
20230319 20:50:00.749152 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#77] from 127.0.0.1:49538 - tcpserver.cc:53
20230319 20:50:00.749159 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#78] from 127.0.0.1:49548 - tcpserver.cc:53
20230319 20:50:00.749188 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#79] from 127.0.0.1:49564 - tcpserver.cc:53
20230319 20:50:00.749196 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.749197 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#80] from 127.0.0.1:49568 - tcpserver.cc:53
20230319 20:50:00.749205 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#81] from 127.0.0.1:49580 - tcpserver.cc:53
20230319 20:50:00.749212 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#82] from 127.0.0.1:49588 - tcpserver.cc:53
20230319 20:50:00.749211 56902 INFO  connection_state= - httpserver.cc:52
